Курс;Категория;Всего;Размер резервной копии
Эф. поведение;Базовые дисциплины;1MB;0MB
Основы бух учета;Базовые дисциплины;1MB;0MB
И У-19 Ивлев Д.М.;Общеобразовательные дисциплины ;1MB;0MB
Тех.Отрасли;Базовые дисциплины;1MB;0MB
 Теория вероятностей и математическая статистика;Базовые дисциплины;1MB;0MB
МДК.03.01 Петрова.Г.А;Профессиональный Модуль;1MB;0MB
ТП Ю-30 Самохина Е.А;Профильные дисциплины;1MB;0MB
УК Хрусталева С.Н.;Базовые дисциплины;1MB;0MB
МДК.01.02 К-28 Выборнова А.М.;Профессиональный Модуль;1MB;0MB
МДК 01.04 эл ЗО бюджет;Базовые дисциплины;1MB;0MB
МДК.01.04 П-36 Плискин.В.А;Профессиональный Модуль;1MB;0MB
М НП-11 Малышева.А.А;Общеобразовательные дисциплины ;1MB;0MB
ПДП.2021;Профессиональный цикл;1MB;0MB
Ф 16 Арцыбашева И.И.;Общеобразовательные дисциплины ;1MB;0MB
Математика Ю-25 Пронина С.В.;Общеобразовательные дисциплины ;1MB;0MB
И 16 Наумова Т.А.;Общеобразовательные дисциплины ;1MB;0MB
ПП.04;Профессиональный цикл;1MB;0MB
МДК.01.01 У-29 Рахимова.Р.В;Профессиональный Модуль;1MB;0MB
МДК.04.01 У-29 Рахимова.Р.В;Профессиональный Модуль;1MB;0MB
МДК.02.01 С-27 Пушкина.А.М;Профессиональный Модуль;1MB;0MB
МДК.01.01 А-23 2021 Бойков Ю.А.;Профессиональный Модуль;1MB;0MB
ОУИД С-37 Григорьева.М.В;Общеобразовательные дисциплины ;1MB;0MB
МДК.03.01 М-44 Григорьева.М.В;Профессиональный Модуль;1MB;0MB
;;;
Итог;;6639MB;1MB
